paper_id,description,public_sources,command,source_sha256,reproduced_outputs
tab:expert_comparison,Expert-reference comparison,data/paper_results/expert/expert_comparison.csv;data/paper_results/expert/expert_create_paired_scores.csv,python scripts/reproduce_paper_results.py --strict,e4acfa7aaec4d8d1c3ead237328981206150c886a5b85cdf59d292b2a3445dcb;423ff2990784f0731deb30834b64dffba224a3838c1c6801d9d9e6d55f44612f,figure_source_data/expert__expert_comparison.csv;figure_source_data/expert__expert_create_paired_scores.csv
fig:main_baselines,Main automatic baseline comparison,data/paper_results/main/primary_seed_scores.csv;data/paper_results/main/primary_task_summary.csv,python scripts/reproduce_paper_results.py --strict,cc8f96845087a15ac8ea74d5d35733b5a3522dcd59361ab6de85ec05e0dd128e;e3d5e4fd9271f12fe503c060001b77afe4a3509f29f70e6306447cc1fb0d2e9f,figure_source_data/main__primary_seed_scores.csv;primary_task_summary.csv
tab:supp_trajectory_summary,Refinement dynamics and incumbent retention,data/paper_results/trajectories/cells.csv;data/paper_results/trajectories/method_summary.csv,python scripts/reproduce_paper_results.py --strict,ad967930621a777d7ab7ac896823b44cb6c3e4abadfb322ca0e9ec780c3fc0ea;eb3f0ea89c9f35cfe1e09310abfef5ff312cbb98db48e3545c992c83721a1d72,figure_source_data/trajectories__cells.csv;trajectory_method_summary.csv
fig:semantic_context,Semantic context interventions,data/paper_results/semantic/semantic_paired_scores.csv;data/paper_results/semantic/semantic_task_summary.csv,python scripts/reproduce_paper_results.py --strict,58410545b3592fed1b3041945eeb2ce2b5ef2e06bb64ea73ab8ab62759963a36;b9183887dbe8fdc5362a5a979f5289342f394d88792daf8b8778d196e596812f,figure_source_data/semantic__semantic_paired_scores.csv;semantic_task_summary.csv
tab:structural_cases,Representative structural cases,data/paper_results/cases/structural_cases.json,python scripts/reproduce_paper_results.py --strict,145c92f4b6260d8356ed6837b8e7c92c7b849dcb6ac7ea12c32cd95309e321c6,structural_cases_verified.json
tab:supp_main_summary,Complete automatic-baseline summary,data/paper_results/main/primary_task_summary.csv,python scripts/reproduce_paper_results.py --strict,e3d5e4fd9271f12fe503c060001b77afe4a3509f29f70e6306447cc1fb0d2e9f,primary_task_summary.csv
tab:supp_expert_seeds,Expert seed scores,data/paper_results/expert/expert_seed_scores.csv,python scripts/reproduce_paper_results.py --strict,2e6ca9344f2c392b0032f3eac738f06217a35d3b0e4a777e4d50015f49a90bf1,figure_source_data/expert__expert_seed_scores.csv
tab:supp_main_seeds,Main comparison seed scores,data/paper_results/main/primary_seed_scores.csv,python scripts/reproduce_paper_results.py --strict,cc8f96845087a15ac8ea74d5d35733b5a3522dcd59361ab6de85ec05e0dd128e,figure_source_data/main__primary_seed_scores.csv
tab:supp_semantic_summary,Semantic condition summary,data/paper_results/semantic/semantic_task_summary.csv,python scripts/reproduce_paper_results.py --strict,b9183887dbe8fdc5362a5a979f5289342f394d88792daf8b8778d196e596812f,semantic_task_summary.csv
tab:supp_semantic_seeds,Semantic paired seed scores,data/paper_results/semantic/semantic_paired_scores.csv,python scripts/reproduce_paper_results.py --strict,58410545b3592fed1b3041945eeb2ce2b5ef2e06bb64ea73ab8ab62759963a36,figure_source_data/semantic__semantic_paired_scores.csv
tab:manual_inputs,Manual-input inventory,data/paper_results/main/manual_input_inventory.csv,python scripts/reproduce_paper_results.py --strict,f0ffa1687eeb2ef9a6f9d6500d1c655e8a0c7fefa0530ca7ee99fdcc3742c881,figure_source_data/main__manual_input_inventory.csv
tab:supp_struct_door,Structural case details for door push,data/paper_results/cases/structural_cases.json,python scripts/reproduce_paper_results.py --strict,145c92f4b6260d8356ed6837b8e7c92c7b849dcb6ac7ea12c32cd95309e321c6,structural_cases_verified.json
tab:supp_struct_push,Structural case details for push to goal,data/paper_results/cases/structural_cases.json,python scripts/reproduce_paper_results.py --strict,145c92f4b6260d8356ed6837b8e7c92c7b849dcb6ac7ea12c32cd95309e321c6,structural_cases_verified.json
tab:supp_struct_insert,Structural case details for peg insertion,data/paper_results/cases/structural_cases.json,python scripts/reproduce_paper_results.py --strict,145c92f4b6260d8356ed6837b8e7c92c7b849dcb6ac7ea12c32cd95309e321c6,structural_cases_verified.json
tab:supp_struct_channel,Structural case details for peg channel,data/paper_results/cases/structural_cases.json,python scripts/reproduce_paper_results.py --strict,145c92f4b6260d8356ed6837b8e7c92c7b849dcb6ac7ea12c32cd95309e321c6,structural_cases_verified.json
tab:supp_struct_obstacle,Structural case details for obstacle reach,data/paper_results/cases/structural_cases.json,python scripts/reproduce_paper_results.py --strict,145c92f4b6260d8356ed6837b8e7c92c7b849dcb6ac7ea12c32cd95309e321c6,structural_cases_verified.json
tab:supp_struct_grasp,Structural case details for grasp and place,data/paper_results/cases/structural_cases.json,python scripts/reproduce_paper_results.py --strict,145c92f4b6260d8356ed6837b8e7c92c7b849dcb6ac7ea12c32cd95309e321c6,structural_cases_verified.json
