reference,display_name,role,task,seed,canonical_task_score,composite_score,score_source,protocol_fingerprint,bank_byte_sha256,bank_content_sha256,expert_yaml_sha256,executed_skill_yaml_sha256,canonical_result_path,canonical_result_sha256
expert-reference,Expert reference,reference_not_automatic_baseline,door_push,0,1.0,0.84,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,b29b248acaa58a69e5a0b72093a58262c945adebbd8da2acd294c9a757e60038,275c70960dc683bb9d0f514db4e615bd3a6644bf8e38d8dd2bfa731bf179f097,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,<source-record-removed>,84df0b904f8935755cd4b1b772d35d8a1027a4df48acb0b494870c6bed29722b
expert-reference,Expert reference,reference_not_automatic_baseline,door_push,1,1.0,0.84,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,3878d28303300c6e0718be8da8b814aff428849603499dfe02245cc9eb1e5851,083132501f1ba139cf05fa7994a1ee954b157d46058e9396ba8b78c93b367725,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,<source-record-removed>,4b24a302c3d51cafcaf91c93bcf95aafa5517f33f4bdc68dc65201d4e34e252c
expert-reference,Expert reference,reference_not_automatic_baseline,door_push,2,1.0,0.84,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,d24b0b252715c3d08b7660b649d3dc009e4cb0adab111f63bd4c5c48de665ac5,7dec7b9d265217827596e50fcdf4f13e307fabe21fe4cab198e2a5d141ff1ba8,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,<source-record-removed>,cd1812515025cc4e69e49844c17bdeac80f65e4e7b9b96334c158c01c9e13d81
expert-reference,Expert reference,reference_not_automatic_baseline,door_push,3,1.0,0.84,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,b83610d6f104c31f99d5935d2b8b2423731b0709845c8c07cd3420955c05f836,bba62da7f52483738d4dc6e46310e5298b0e0489aa689b981e86db9abdda203f,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,<source-record-removed>,34e2b76b82e1f83edb346a9d8bd077f34b44262945ffe50fa1b2f9222c77d563
expert-reference,Expert reference,reference_not_automatic_baseline,door_push,4,1.0,0.84,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,8ce23e87430b2d1c495b11a97b33be75c5834abd6ec4fff50523a8edc84602be,6e4aa099e94fbceab0cbffcfa0782e5dc3f2f920fda4dd08a29a8751703a4594,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,<source-record-removed>,08773c874f7cf6bfb6794f228f76f2b5a33fe2c73440b56a76721cb9bc3f450b
expert-reference,Expert reference,reference_not_automatic_baseline,door_push,5,1.0,0.84,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,3025246ae01ce6a5868b58a7e7ea3414506969a10be6e4b721ab7e7748407091,e036e59174e9f4dc4d090dc26b64c24f51b2862ad33098baa3e34b1ab5217b2c,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,<source-record-removed>,3aa6feb8d4c105f80428a9afdac5205423c0084acc494d6b45577efe8490cfdb
expert-reference,Expert reference,reference_not_automatic_baseline,door_push,6,1.0,0.84,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,7ea3ea5895e68135267b7fd4878dbd6c32d4d5e0b7e2f659ce3b4695b3f175c0,60c29f30561fee2ce06b067ae52309dfc2791a8d10a0f8247d4f057dc1f7bbf4,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,<source-record-removed>,4c54dc4b588c0b937cbdaa00854e024a191d6ce1cb7f8c3e550ab88b0fa9ea6e
expert-reference,Expert reference,reference_not_automatic_baseline,door_push,7,1.0,0.84,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,99f10f3388ae1ecdd2ae3494fd1bd3e8f42420c416b3c3e75f2738699c60d9f4,2fa9c04e562df03eff32cc7f63abe386d265bbd85d42dcee2df7f90a42e2de0a,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,<source-record-removed>,5e88e2903a77862b32e8d3538355c8fb78fe6a8d22fcd284fdd73998c93061df
expert-reference,Expert reference,reference_not_automatic_baseline,door_push,8,1.0,0.84,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,3763e501701ebe8b415613d2da6a15582c58b5305fc3de17df76e4507f1e6f63,ea6bae111f14debb91f5aac35e1b236c8a3b6c6e55761aa2eab002718511c500,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,<source-record-removed>,2977be3d199552d3067ee7f8e136a819ede25191cb46bea640a3d45e51cbe8a1
expert-reference,Expert reference,reference_not_automatic_baseline,door_push,9,1.0,0.84,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,23f6636efdab226b7719419a5f3ad6cbb3c48eb2cfaa64e46fc2ea1357976b28,d324a70682be50916187e25da5a0a59a7678607fbe49b53fdc39aa246f41ddf9,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,<source-record-removed>,82a93d9e256eca028fefbf364434134f73645926aa9c1aecac445bc289f03391
